"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"160","MAP3K4",17.0364664827552,1.02493241955991,0.463365223071298,2.21193211861348,0.0269713555954731,0.237616802566972
"161","AKR1B1",36.3592519424414,-0.906414465553638,0.311197066983692,-2.91267033567877,0.00358352697839723,0.0980730415636196
"162","RRN3",19.8011076401936,0.910437682414165,0.409177623518678,2.22504269560236,0.0260783720689945,0.234949385100985
"163","SNX10",16.3668639475563,-1.20760052966703,0.356166936795771,-3.39054641211539,0.000697534425291329,0.041120337539102
"164","MRPL28",26.9655845747943,-0.74332808386496,0.341215517759402,-2.17847092285262,0.0293709947258677,0.245711928810766
"165","HBQ1",0.55757588036859,-4.0031653991836,1.85231362882187,-2.16117040704913,0.0306821784664871,NA
"166","RBM22",35.9441892961361,0.558526898486192,0.271033129636806,2.06073294152135,0.0393285251090021,0.27843884350917
"167","TXLNG",24.5378868460875,0.999321226012337,0.393487721031835,2.53965034383243,0.0110963342161819,0.168135654548874
"168","BAX",116.767392592582,-0.784930669167732,0.192848463486407,-4.07019405276753,4.69739936583418e-05,0.00866363830863852
"169","GNAO1",5.23049225703138,-1.58302290252975,0.77650408144379,-2.03865367917496,0.0414846037945877,0.284064066661244
"170","SH3BP2",15.3488983872676,-0.854439548739026,0.326461119550929,-2.61727813074454,0.00886340881050285,0.154408953487282
"171","SF3B2",145.255373525804,-0.355470319532088,0.166461806587476,-2.13544672390233,0.0327245375684164,0.253899180519844
"172","LZTS3",6.2638780775211,1.59606609980515,0.797336161351143,2.0017480420059,0.0453118366083326,0.29272913288006
"173","DYNLL1",68.6716229462036,-1.51342038513103,0.610009197883002,-2.48097961536197,0.01310218657117,0.17986885254014
"174","TESC",10.3967329288204,-1.86319894865743,0.472040427193845,-3.94711732580545,7.90978010389487e-05,0.0125151399893265
"175","SLC8B1",24.4991178717124,0.97016753964975,0.450691488313531,2.152620062296,0.0313485505036884,0.248794296046111
"176","FUS",389.646528991139,0.447736011693527,0.174759779488579,2.56200833512031,0.0104068820872454,0.16472385751528
"177","ZNF302",22.1886014203624,1.08251915988998,0.431660518628966,2.50780211108549,0.0121484681296759,0.174100681777315
"178","LAG3",11.9803993206113,-1.66089977174983,0.645759368056777,-2.57201033993176,0.0101109871913743,0.162773463627362
"179","ZBTB25",39.4285937799177,0.618000209266868,0.259174857206048,2.38449136590263,0.0171027493333896,0.199997135173911
"180","NECAP1",47.6726871565446,0.970875258185586,0.25292786913531,3.83854599141146,0.000123765034593287,0.0150003221927063
"181","BLVRB",10.2709060456343,-1.08649177478111,0.508042648825458,-2.13858379270513,0.0324693912588947,0.253128595694181
"182","SLC9A1",4.60161210222674,-1.11405125418987,0.548702331065033,-2.03033811069746,0.042322182868301,NA
"183","PCBP4",11.7563034958031,-0.821235065462549,0.370888721319674,-2.21423574850289,0.0268125659040327,0.237507426369713
"184","LYZ",63.51765832914,-2.52350810033033,1.09715214371304,-2.30005301889137,0.0214452164902147,0.216339139955983
"185","CERS4",7.61352883515705,-1.32363327818605,0.511736902969714,-2.58655037482101,0.00969419989557093,0.159390682003922
"186","CMTM6",63.4398920231757,-0.482159958948083,0.224834816766336,-2.14450753616677,0.0319922422432399,0.251316836288562
"187","PSME1",343.686062950058,-0.666216514185512,0.266315229515762,-2.50160877166839,0.0123630458719672,0.17598671338552
